,release_year,type,new_code
453,2007,TV Show,JPN
454,1988,TV Show,USA
455,2015,Movie,USA
456,2015,Movie,SEN
457,2004,Movie,JPN
458,2003,Movie,JPN
459,2002,Movie,JPN
460,1973,Movie,IND
461,2017,TV Show,USA
462,2017,Movie,USA
463,2015,Movie,IND
464,2015,TV Show,NOR
465,1974,Movie,IND
466,1989,Movie,IND
467,2011,Movie,JPN
468,2009,Movie,JPN
469,2010,Movie,JPN
470,2005,Movie,JPN
471,2006,Movie,JPN
472,2004,Movie,JPN
473,2016,Movie,DEU
474,2017,Movie,USA
475,2016,Movie,FRA
476,1986,Movie,USA
477,1984,Movie,IND
478,1984,Movie,RUS
479,2016,Movie,ARG
480,2016,Movie,ESP
481,2016,Movie,USA
482,2016,Movie,HKG
483,2016,Movie,CHN
484,2016,Movie,GBR
485,2016,Movie,ITA
486,2016,Movie,ISR
487,2016,Movie,PER
488,2016,Movie,USA
489,2017,Movie,ARG
490,2017,Movie,URY
491,2017,Movie,ESP
492,2017,Movie,FRA
493,2014,TV Show,DEU
494,2014,TV Show,USA
495,2014,TV Show,ITA
496,2016,Movie,ARG
497,2017,Movie,USA
498,2015,Movie,NLD
499,2015,Movie,NLD
500,2015,TV Show,GBR
501,2008,TV Show,GBR
502,2014,Movie,PAK
503,2014,Movie,NOR
504,2014,Movie,USA
505,2009,TV Show,TWN
506,2008,Movie,GBR
507,2015,Movie,CAN
508,2015,Movie,USA
509,2009,TV Show,TWN
510,2016,Movie,USA
511,2010,TV Show,CHN
512,2015,Movie,ESP
513,2016,Movie,GBR
514,2015,TV Show,CHE
515,2010,TV Show,TWN
516,2010,TV Show,CHN
517,2009,TV Show,TWN
518,2016,Movie,ESP
519,2015,TV Show,GBR
520,2013,Movie,USA
521,2019,Movie,USA
522,2019,Movie,USA
523,2019,TV Show,USA
524,2009,Movie,IDN
525,2018,Movie,USA
526,2016,Movie,IDN
527,2015,Movie,GBR
528,2015,Movie,UKR
529,2015,Movie,USA
530,2019,Movie,USA
531,2019,Movie,USA
532,2018,Movie,MYS
533,2014,Movie,AUS
534,2014,Movie,USA
535,2017,Movie,USA
536,2016,Movie,USA
537,2016,Movie,USA
538,2016,TV Show,USA
539,2016,Movie,IRL
540,2016,Movie,ZAF
541,2018,Movie,IDN
542,2015,Movie,VNM
543,2018,Movie,USA
544,2017,TV Show,JPN
545,2017,Movie,CHN
546,2017,Movie,IND
547,2017,Movie,NPL
548,2017,Movie,USA
549,2019,TV Show,MEX
550,2019,TV Show,PRK
551,2019,Movie,IND
552,2014,Movie,IDN
553,2018,TV Show,USA
554,2016,Movie,IDN
555,2018,TV Show,CZE
556,2018,TV Show,USA
557,2018,TV Show,JPN
558,2018,Movie,GBR
559,2018,Movie,USA
560,2018,Movie,USA
561,2018,TV Show,PRK
562,2016,Movie,GBR
563,2016,Movie,HKG
564,2019,Movie,TUR
565,2019,Movie,CAN
566,2019,Movie,TUR
567,2019,TV Show,USA
568,2019,Movie,USA
569,2016,Movie,GBR
570,2016,Movie,CAN
571,2016,Movie,ITA
572,2009,Movie,IDN
573,2008,Movie,USA
574,2018,TV Show,JPN
575,2016,Movie,USA
576,2019,Movie,ARG
577,2019,TV Show,TWN
578,2019,TV Show,USA
579,2018,Movie,ESP
580,2018,Movie,FRA
581,2015,Movie,PHL
582,2017,Movie,USA
583,2016,Movie,USA
584,2016,TV Show,AUS
585,2013,Movie,USA
586,2016,TV Show,PRK
587,2019,Movie,IND
588,2017,TV Show,PRK
589,2019,TV Show,USA
590,2005,Movie,IND
591,2016,Movie,IND
592,2014,Movie,IND
593,2018,TV Show,USA
594,2013,Movie,IDN
595,2017,Movie,USA
596,2011,Movie,USA
597,2019,TV Show,USA
598,1978,Movie,USA
599,2017,Movie,GBR
600,2017,Movie,IND
601,2017,Movie,USA
602,2017,Movie,USA
603,2017,Movie,USA
604,2017,Movie,USA
605,2017,Movie,USA
606,2019,Movie,USA
607,2018,TV Show,USA
608,2019,Movie,USA
609,2017,Movie,FRA
610,2017,Movie,BEL
611,2017,Movie,CHN
612,2017,Movie,USA
613,2016,Movie,CAN
614,2019,Movie,MEX
615,2019,Movie,USA
616,2018,Movie,GBR
617,2015,Movie,USA
618,2015,Movie,IDN
619,2017,Movie,CAN
620,2016,Movie,CAN
621,2016,Movie,USA
622,2016,Movie,GBR
623,2016,Movie,DEU
624,2016,Movie,CAN
625,2016,Movie,FRA
626,2016,Movie,FRA
627,2016,Movie,BEL
628,2016,TV Show,CAN
629,2016,Movie,FRA
630,2019,TV Show,USA
631,2018,Movie,USA
632,2006,Movie,HKG
633,2006,Movie,CHN
634,2017,TV Show,USA
635,2017,Movie,USA
636,2016,Movie,ESP
637,2015,Movie,USA
638,2019,TV Show,CHN
639,2019,Movie,USA
640,2018,Movie,USA
641,2018,Movie,RUS
642,2018,Movie,POL
643,2018,Movie,SRB
644,2019,Movie,SRB
645,2019,Movie,USA
646,2018,Movie,ESP
647,2018,Movie,PRT
648,2018,Movie,COL
649,2018,Movie,USA
650,2018,Movie,GBR
651,2018,TV Show,USA
652,2018,TV Show,CZE
653,2018,Movie,IND
654,2016,Movie,USA
655,2015,Movie,ISR
656,2015,Movie,USA
657,2019,Movie,USA
658,2019,TV Show,BRA
659,2014,Movie,TUR
660,2019,Movie,USA
661,2019,TV Show,ESP
662,2019,Movie,USA
663,2019,Movie,GBR
664,2019,Movie,DEU
665,2018,TV Show,ARG
666,2019,Movie,USA
667,2019,TV Show,FRA
668,2019,TV Show,ESP
669,2019,TV Show,USA
670,2019,Movie,USA
671,2018,Movie,CHE
672,2019,TV Show,CHN
673,2009,TV Show,USA
674,2018,TV Show,USA
675,2018,Movie,USA
676,2017,Movie,GBR
677,2015,Movie,USA
678,2015,Movie,USA
679,2019,TV Show,USA
680,2019,Movie,USA
681,2019,Movie,SGP
682,2019,Movie,MYS
683,2015,Movie,IND
684,2018,TV Show,GBR
685,2017,Movie,GBR
686,2017,TV Show,USA
687,2014,Movie,USA
688,2011,TV Show,USA
689,2014,Movie,CAN
690,2014,Movie,LUX
691,2019,TV Show,USA
692,2019,Movie,USA
693,2018,Movie,HKG
694,2018,Movie,CHN
695,2018,Movie,USA
696,2018,TV Show,CHN
697,2018,Movie,USA
698,2015,Movie,USA
699,2015,Movie,USA
700,2015,Movie,ESP
701,2015,Movie,DEU
702,2015,Movie,USA
703,2019,Movie,USA
704,1974,Movie,USA
705,2015,Movie,USA
706,2018,Movie,EGY
707,2018,Movie,AUT
708,2018,Movie,USA
709,2016,Movie,USA
710,2010,Movie,IND
711,2007,Movie,IND
712,2006,Movie,IND
713,2010,Movie,IND
714,2008,Movie,IND
715,2011,Movie,IND
716,2011,Movie,IND
717,2015,Movie,USA
718,2016,Movie,GBR
719,2008,Movie,IDN
720,2013,TV Show,USA
721,2016,TV Show,USA
722,2016,Movie,USA
723,2014,Movie,USA
724,2018,Movie,PER
725,2014,Movie,GBR
726,2014,Movie,USA
727,2014,Movie,MAR
728,2017,Movie,USA
729,2011,Movie,USA
730,2017,Movie,USA
731,2017,TV Show,USA
732,2017,Movie,USA
733,2016,TV Show,USA
734,2013,TV Show,GBR
735,2015,TV Show,USA
736,2017,TV Show,AUS
737,2017,TV Show,USA
738,2012,TV Show,USA
739,2016,TV Show,GBR
740,2017,TV Show,GBR
741,2014,TV Show,CAN
742,2019,TV Show,USA
743,2019,Movie,MEX
744,2018,Movie,USA
745,2017,Movie,USA
746,2017,Movie,BGR
747,2012,Movie,USA
748,2018,Movie,USA
749,2014,TV Show,GBR
750,2008,Movie,USA
751,2014,Movie,GBR
752,2000,Movie,GBR
753,1998,Movie,USA
754,1982,Movie,GBR
755,1982,Movie,USA
756,2014,Movie,GBR
757,2009,TV Show,GBR
758,1972,TV Show,GBR
759,1972,TV Show,DEU
760,1979,Movie,GBR
761,2005,TV Show,USA
762,1989,Movie,GBR
763,2013,Movie,USA
764,2015,Movie,USA
765,2015,Movie,USA
766,2019,Movie,USA
767,1997,Movie,USA
768,2018,Movie,NGA
769,2018,Movie,BEL
770,2018,Movie,LUX
771,2018,Movie,FRA
772,2018,TV Show,USA
773,2017,TV Show,AUS
774,2018,TV Show,USA
775,2018,Movie,MEX
776,2018,Movie,ARG
777,2018,Movie,USA
778,2018,Movie,GBR
779,2018,Movie,CAN
780,2018,Movie,USA
781,2018,Movie,CYM
782,2018,Movie,PRK
783,2013,Movie,IND
784,2018,Movie,USA
785,2016,Movie,HKG
786,2016,Movie,CHN
787,2015,Movie,USA
788,2015,Movie,GBR
789,2015,Movie,MAR
790,2015,Movie,USA
791,2014,Movie,USA
792,2018,Movie,IDN
793,2018,Movie,USA
794,2018,TV Show,GBR
795,2017,Movie,FRA
796,2017,Movie,ZAF
797,2016,Movie,NGA
798,2019,Movie,USA
799,2018,Movie,USA
800,2019,TV Show,GBR
801,2019,TV Show,USA
802,2017,Movie,TUR
803,2019,TV Show,IND
804,2017,TV Show,USA
805,2018,Movie,NGA
806,2019,Movie,ESP
807,2017,Movie,NGA
808,2019,Movie,GBR
809,2019,Movie,USA
810,2019,TV Show,USA
811,2018,Movie,NGA
812,2019,Movie,IND
813,2017,Movie,IDN
814,2018,Movie,IND
815,2016,Movie,USA
816,2010,Movie,USA
817,2010,Movie,CHN
818,2019,TV Show,AUS
819,2010,Movie,CAN
820,2017,Movie,USA
821,2016,TV Show,PRK
822,2019,Movie,USA
823,2019,Movie,USA
824,2019,Movie,PRK
825,2015,TV Show,PRK
826,2015,Movie,USA
827,2015,Movie,GBR
828,2018,Movie,USA
829,2018,Movie,USA
830,2017,Movie,IND
831,2013,Movie,GBR
832,2013,Movie,USA
833,2011,TV Show,USA
834,2016,TV Show,USA
835,2016,TV Show,USA
836,2012,TV Show,USA
837,2017,Movie,IND
838,2015,Movie,NLD
839,2015,Movie,DNK
840,2015,Movie,ZAF
841,2015,Movie,USA
842,2015,Movie,USA
843,2015,Movie,USA
844,2014,TV Show,TUR
845,2016,Movie,GBR
846,2016,Movie,POL
847,2016,Movie,USA
848,2019,Movie,USA
849,2019,TV Show,USA
850,2019,TV Show,USA
851,2017,TV Show,IND
852,2017,Movie,IND
853,2018,Movie,IND
854,2018,TV Show,GBR
855,2016,Movie,IND
856,2015,Movie,IND
857,2013,Movie,IND
